track_name,artist_name,preview,artist_genre
Happy,Pharrell Williams,./data/Happy,['pop rap']
Fancy,Iggy Azalea,./data/Fancy,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop']"
The One That Got Away,Katy Perry,./data/The One That Got Away,"['dance pop', 'pop', 'post-teen pop']"
Stay,Naeleck,./data/Stay,['electro']
The Mend,Calabasas,./data/The Mend,[]
Best F-ing Life,Lynnea M,./data/Best F-ing Life,[]
Sleeping with Anxiety,Logan Ghiorzi,./data/Sleeping with Anxiety,[]
Run Away With Me,Dan Bremnes,./data/Run Away With Me,"['anthem worship', 'canadian ccm', 'ccm', 'christian indie', 'christian pop']"
The Signs,Gianna Ernst,./data/The Signs,[]
WTF,Karri,./data/WTF,[]
I'm Not The Only One,Sam Smith,./data/I'm Not The Only One,"['dance pop', 'pop', 'uk pop']"
How to Love Other People,david hugo,./data/How to Love Other People,"['alt z', 'chill r&b', 'modern indie pop']"
Grand Vision,Novi Tide,./data/Grand Vision,[]
Buddy Holly (feat. Lil Gotit),Ghostluvme,./data/Buddy Holly (feat. Lil Gotit),[]
Heathens,Twenty One Pilots,./data/Heathens,"['modern rock', 'rock']"
Lying to Myself,david hugo,./data/Lying to Myself,"['alt z', 'chill r&b', 'modern indie pop']"
Die Tryin',Katt Rockell,./data/Die Tryin',[]
AM,Tye Henney,./data/AM,[]
Do What I Do,Noah Ashton,./data/Do What I Do,[]
WAR,SB Quisey,./data/WAR,[]
Sign of the Times,Harry Styles,./data/Sign of the Times,['pop']
Pill Cosby,Ghostluvme,./data/Pill Cosby,[]
Proud of Me,Terrell Edmunds,./data/Proud of Me,[]
Beating Down Yo Block,Monaleo,./data/Beating Down Yo Block,[]
Fuck You,Lily Allen,./data/Fuck You,"['dance pop', 'pop']"
Fye,Terrell Edmunds,./data/Fye,[]
Raise Your Glass,P!nk,./data/Raise Your Glass,"['dance pop', 'pop']"
PM,Tye Henney,./data/PM,[]
Really Don't Care,Demi Lovato,./data/Really Don't Care,"['dance pop', 'pop', 'post-teen pop']"
Girl on Fire,Alicia Keys,./data/Girl on Fire,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']"
Marry The Night,Lady Gaga,./data/Marry The Night,"['art pop', 'dance pop', 'pop']"
Punk Ass Kids,Logan Ghiorzi,./data/Punk Ass Kids,[]
Bye Bye Bye,*NSYNC,./data/Bye Bye Bye,"['boy band', 'dance pop', 'post-teen pop']"
It Ain't Me (with Selena Gomez),Kygo,./data/It Ain't Me (with Selena Gomez),"['edm', 'pop', 'pop dance', 'tropical house']"
Don't Let Me Down,The Chainsmokers,./data/Don't Let Me Down,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
Get Lucky (feat. Pharrell Williams & Nile Rodgers),Daft Punk,./data/Get Lucky (feat. Pharrell Williams & Nile Rodgers),"['electro', 'filter house']"
Love Boy,YNG Martyr,./data/Love Boy,"['aesthetic rap', 'lo-fi chill', 'meme rap', 'sad lo-fi', 'sad rap']"
7 Years,Lukas Graham,./data/7 Years,"['danish pop', 'pop', 'scandipop']"
Into the Mist - Kiele Remix,Laeko,./data/Into the Mist - Kiele Remix,[]
What the Hell,Avril Lavigne,./data/What the Hell,"['canadian pop', 'candy pop', 'dance pop', 'pop', 'post-teen pop']"
Burn,Ellie Goulding,./data/Burn,"['dance pop', 'edm', 'electropop', 'indietronica', 'metropopolis', 'pop', 'uk pop']"
Everybody Talks,Neon Trees,./data/Everybody Talks,"['modern alternative rock', 'modern rock', 'pop', 'pop rock', 'post-teen pop', 'rock']"
Bang Bang,Jessie J,./data/Bang Bang,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
hearts!,Sadfriendd,./data/hearts!,"['aesthetic rap', 'dark trap', 'meme rap']"
Round & Round,Selena Gomez & The Scene,./data/Round & Round,"['dance pop', 'pop', 'post-teen pop', 'viral pop']"
I Love It (feat. Charli XCX),Icona Pop,./data/I Love It (feat. Charli XCX),"['candy pop', 'dance pop', 'edm', 'electropop', 'metropopolis', 'pop', 'pop dance', 'swedish electropop', 'swedish synthpop']"
Applause,Lady Gaga,./data/Applause,"['art pop', 'dance pop', 'pop']"
Roar,Katy Perry,./data/Roar,"['dance pop', 'pop', 'post-teen pop']"
Mirrors,Justin Timberlake,./data/Mirrors,"['dance pop', 'pop']"
Forever Lova,Nana Kofi,./data/Forever Lova,[]
E.T.,Katy Perry,./data/E.T.,"['dance pop', 'pop', 'post-teen pop']"
